borough_code,borough_name,young_adults_20_34_2011,young_adults_20_34_2021,total_pop_2011,total_pop_2021,pct_young_adults_2011,pct_young_adults_2021,age_change_pct,private_rented_2011,private_rented_2021,owner_occupied_2011,owner_occupied_2021,pct_private_rented_2011,pct_private_rented_2021,housing_tenure_change_pct,single_person_households_2011,single_person_households_2021,total_households_2011,total_households_2021,pct_single_households_2011,pct_single_households_2021,area_km2,population_density_2021
E09000007,Barking and Dagenham,43265,46511,185911,218869,0.232718882,0.212506111,-0.020212771,12328,17890,32324,31319,0.276090657,0.363551383,0.087460726,19215,17503,69681,73902,0.275756663,0.236840681,36.1,6061.5
E09000002,Barnet,85509,80611,356386,389343,0.239933667,0.207043661,-0.032890007,34854,48705,78350,78407,0.307886647,0.383166027,0.07527938,37957,41658,135916,148917,0.279268077,0.279739721,86.7,4488.2
E09000003,Bexley,43346,45494,231997,246472,0.186838623,0.184580804,-0.002257819,10556,14578,67154,65417,0.135838373,0.18223639,0.046398016,25789,24753,92604,95300,0.27848689,0.259737671,60.6,4068.5
E09000004,Brent,89086,83749,311215,339814,0.286252269,0.246455414,-0.039796855,33181,42726,47324,45593,0.412160735,0.483769064,0.071608329,30616,31985,110286,118612,0.277605498,0.269660743,43.2,7860.1
E09000005,Bromley,55070,55426,309392,329989,0.17799426,0.167963175,-0.010031085,17393,23661,92785,93028,0.157862731,0.202769756,0.044907024,40815,38668,130862,135828,0.311893445,0.28468357,150.1,2198.0
E09000006,Camden,72213,62708,220338,210134,0.327737385,0.298419104,-0.029318281,31434,33012,31368,27507,0.500525461,0.545481584,0.044956123,39531,35929,97534,92758,0.405304817,0.387341254,21.8,9643.9
E09000001,City of London,2321,3180,7375,8580,0.314711864,0.370629371,0.055917506,1573,2373,1855,1794,0.458868145,0.569474442,0.110606297,2472,2506,4385,4914,0.563740023,0.50997151,2.9,2954.6
E09000008,Croydon,79925,80761,363378,390716,0.219950024,0.206700007,-0.013250017,30472,39441,85230,83667,0.263366234,0.32037723,0.057010996,43043,43091,145010,152945,0.296827805,0.281741803,86.5,4516.8
E09000009,Ealing,92127,82302,338449,367115,0.272203493,0.224185882,-0.048017611,34182,45490,63420,61814,0.350218233,0.423935734,0.073717501,35329,35662,124082,133657,0.284723006,0.266817301,55.5,6609.4
E09000010,Enfield,70812,63419,312466,329984,0.226623057,0.192188106,-0.03443495,26591,35388,69462,63347,0.276836746,0.358413936,0.08157719,33359,31159,119916,120923,0.278186397,0.257676373,80.8,4082.3
E09000011,Greenwich,67313,70947,254557,289071,0.264431935,0.245431053,-0.019000881,20004,29088,43719,46927,0.31392119,0.382661317,0.068740127,32370,34048,101045,114051,0.320352318,0.298533112,47.3,6107.1
E09000012,Hackney,85600,82072,246270,259146,0.347585983,0.316701782,-0.030884201,29449,34147,24179,26066,0.54913478,0.567103449,0.017968669,35635,34928,101690,106081,0.350427771,0.329257831,19.0,13604.2
E09000013,Hammersmith and Fulham,65308,59748,182493,183157,0.357865781,0.326211938,-0.031653843,25555,29558,27397,26090,0.482606889,0.53116015,0.04855326,30148,29324,80590,81244,0.374091078,0.360937423,16.4,11169.8
E09000014,Haringey,75436,66264,254926,264237,0.295913324,0.250774873,-0.045138451,32095,37376,39603,39116,0.447641496,0.488626262,0.040984765,32524,32293,101955,105091,0.319003482,0.307286066,29.6,8927.4
E09000015,Harrow,55019,54057,239056,261203,0.230151094,0.206953978,-0.023197116,18324,26495,55001,52690,0.249901125,0.334596199,0.084695074,19008,19852,84268,89642,0.225566051,0.221458691,50.5,5176.2
E09000016,Havering,44122,50334,237232,262052,0.185986713,0.192076382,0.006089668,10337,16019,71698,70379,0.126007192,0.185409384,0.059402192,28215,26129,97199,101276,0.290280764,0.257997946,112.3,2332.5
E09000017,Hillingdon,64319,64262,273936,305909,0.234795719,0.210069007,-0.024726711,18141,28276,63011,61831,0.223543474,0.313804699,0.090261225,25290,26635,100214,109228,0.25235995,0.243847731,115.7,2644.0
E09000018,Hounslow,70308,62474,253957,288182,0.276850018,0.216786614,-0.060063404,22206,31788,47562,47044,0.318283454,0.403237264,0.08495381,25985,26209,94902,102961,0.273808771,0.254552695,56.0,5148.1
E09000019,Islington,75064,74539,206125,216587,0.364167374,0.344152696,-0.020014678,25217,30079,26564,25740,0.486993299,0.538866694,0.051873395,36240,34795,93556,96496,0.38736158,0.360584895,14.9,14578.4
E09000020,Kensington and Chelsea,46269,37344,158649,143376,0.291643817,0.260462002,-0.031181815,28108,26460,28007,21191,0.500899938,0.555287402,0.054387465,36524,29232,78536,66884,0.465060609,0.4370552,12.1,11825.8
E09000021,Kingston upon Thames,39219,34426,160060,168061,0.245026865,0.204842289,-0.040184576,14312,17911,40762,39937,0.259868541,0.309621767,0.049753227,18198,17716,63639,65628,0.285956725,0.269945755,37.3,4510.4
E09000022,Lambeth,106842,108653,303086,317651,0.352513808,0.342051497,-0.010462311,38133,42329,42885,44469,0.470673184,0.487672527,0.016999343,44691,43154,130017,134688,0.343731974,0.320399739,26.8,11848.2
E09000023,Lewisham,76011,77241,275885,300552,0.275516973,0.256997125,-0.018519847,28216,33289,49228,51230,0.364340685,0.393864102,0.029523417,39680,37147,116091,122393,0.341800829,0.303505919,35.1,8550.7
E09000024,Merton,53233,47521,199693,215186,0.266574191,0.220836857,-0.045737334,19503,23748,46689,45468,0.294642857,0.343099861,0.048457004,22294,20464,78757,81726,0.283073251,0.25039767,37.6,5719.3
E09000025,Newham,104918,101019,307984,351036,0.340660554,0.287773904,-0.05288665,34570,44479,33822,35579,0.505468476,0.555584701,0.050116225,26536,27038,101519,115511,0.261389494,0.234072945,36.2,9697.6
E09000026,Redbridge,66643,65606,278970,310260,0.238889486,0.211454909,-0.027434578,22657,31576,62983,59221,0.264560953,0.347764794,0.083203841,25228,23886,99105,103714,0.254558297,0.23030642,56.4,5499.2
E09000027,Richmond upon Thames,37717,30281,186990,195279,0.201705974,0.155065317,-0.046640657,17440,19970,50750,50361,0.255755976,0.283943069,0.028187093,26008,23871,79835,80704,0.325771905,0.295784596,57.4,3401.7
E09000028,Southwark,95018,98700,288283,307635,0.329599734,0.320834755,-0.008764978,28493,37506,35330,37749,0.446437805,0.498385489,0.051947685,40307,43348,120422,130820,0.334714587,0.331356062,28.9,10658.8
E09000029,Sutton,38145,37143,190146,209639,0.200609006,0.177176003,-0.023433003,12429,16683,53152,53047,0.189521355,0.239251398,0.049730043,23749,22197,78174,82347,0.303796659,0.269554446,43.8,4781.2
E09000030,Tower Hamlets,104003,117170,254096,310306,0.409305932,0.377595019,-0.031710913,32964,46000,24552,27883,0.573127478,0.622606012,0.049478535,35047,38531,101257,120539,0.346119281,0.319655879,19.8,15686.9
E09000031,Waltham Forest,71280,66651,258249,278424,0.276012685,0.239386691,-0.036625995,25102,28593,48361,50356,0.34169582,0.362170515,0.020474695,28756,26696,96861,102901,0.296879033,0.259433825,38.8,7174.4
E09000032,Wandsworth,112656,109967,306995,327507,0.366963631,0.335769922,-0.031193709,41317,49830,59393,58325,0.410257174,0.460727659,0.050470485,42106,41132,130493,137392,0.322668649,0.299376965,34.3,9558.3
E09000033,Westminster,71709,63495,219396,204235,0.326847345,0.310891865,-0.01595548,41949,41065,32287,25962,0.565076243,0.612663553,0.04758731,47893,40443,105772,94816,0.45279469,0.426541934,21.5,9505.1
